account_id,summoner_name,tier,match_id,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
DPa-ZZ8b1QxbB-ejqJ0z5U12BkxymnNhidEuTosF8tS0,Meoseuma,SILVER,4568456485,100,BOTTOM,2104,7,4,4,4,6,19005,5833,3,12129,9756,6949,17,13,18499,14231,280,16,0,51,0,8,1,0.5882352941176471,0.19047619047619047,221,471,8524,4822,12554,1914,13351,2466,12973,3080,13781,3699,11756,1699,12923,2254,3595,881,11244,1178,13589,3714,13467,3881,4768,789,13725,3670,13612,2344,7881,7177
W000PwNQw5lQaywhB73pvmoas5BZFXX5-RwFSwhUOjchRcWJVvfhdNqZ,맞는말만골라서함,SILVER,4568456485,200,SUPPORT,2104,14,4,1,1,10,6743,7885,5,2462,1553,1378,30,31,3208,7970,4,0,0,48,0,14,0,0.5238095238095238,0.058823529411764705,14237,14579,10059,8154,12811,2954,13552,3628,13911,4121,13565,4540,12511,2501,13350,3936,13680,3404,12382,2421,13988,4407,13789,4719,11278,1630,13953,9531,13157,3346,12923,3456
ss27qmgNHAtgfp_xD89H5B5_uTSFWyMmppm7Oj_CoJ0KYJ7KDSzAAGAG,아라아나 그런데,SILVER,4568456485,200,BOTTOM,2104,7,4,2,4,3,9774,2086,3,6170,13808,2209,28,3,15316,11827,217,4,0,11,0,10,3,0.23809523809523808,0.23529411764705882,14147,14401,10909,5527,12811,2954,13552,3628,13911,4121,13565,4540,12511,2501,13350,3936,13680,3404,12382,2421,13988,4407,14322,13733,11203,1651,13778,7141,13157,3346,12923,3456
R9fZ_paXlahdS3GVVY4L3O-SxaGbXj-P7xrWgGpAN3SR,덤벼라누구든지,SILVER,4568456485,200,MID,2104,12,4,2,10,5,16013,0,1,9388,9406,2979,17,28,28195,11232,124,22,6,219,2,10,0,0.3333333333333333,0.5882352941176471,14277,14223,8769,8976,7732,7706,7164,7034,8456,8413,6796,7031,7819,7591,7441,7535,9434,9525,8215,8079,8985,8291,7439,7472,7366,6868,6802,6903,8982,7363,7800,7656
ihEOTz20TwH5OrckAWKYM3XhFBjlwoZbIezNmiUAlTnaAUXE6k1sWtsu,Sexy 쭉,SILVER,4568456485,200,JUNGLE,2104,11,4,9,1,8,24829,0,1,25471,20339,4315,19,26,19537,15992,40,223,30,1051,0,3,3,0.8095238095238095,0.058823529411764705,14486,14291,9491,5601,12494,6500,7396,10956,6452,12318,12169,5014,7621,9775,11307,6925,12322,10474,7188,11159,13148,14023,5419,9081,2412,8612,10273,8965,9157,6296,7429,11022
jC6HTuJKpsdT61Pyn8TfvxugFM4CKeUlqx0oEWavcBIC,뚜비두비두,SILVER,4568456485,200,TOP,2104,12,4,7,1,7,13962,0,1,18612,30521,8652,28,5,20549,15797,218,25,2,48,4,15,0,0.6666666666666666,0.058823529411764705,14486,14511,4602,13851,2235,13104,2640,13341,4006,13492,2257,12632,13412,14201,3072,13152,3777,13998,2626,12691,883,10638,3350,13514,1276,9574,4358,9980,6260,9421,9885,9944
lTP2Vtwsibt6ZRUl7FGHpUhQOFEAme3UqeDHAoVXi7bUY2s,j초록,SILVER,4568599990,100,MID,1464,14,4,6,1,7,11667,0,1,7409,4224,733,11,3,15653,9329,129,16,8,43,1,6,1,0.5,0.14285714285714285,351,293,7118,3012,7576,7460,7059,7046,6971,7160,8964,5825,7497,7262,7406,7387,7230,7417,9872,6558,7048,7435,8956,6091,1952,1655,6915,8980,10293,7715,13470,4447
xj8TxIgVWfBxSHnUi7CNZZ6PxccQwB3d9l0RYBpmfy6sh8k,탕 볶,SILVER,4568599990,100,TOP,1464,12,4,6,2,7,14100,0,1,14468,20852,6338,12,20,26101,12725,196,52,32,180,0,5,1,0.5,0.2857142857142857,560,581,7306,3108,2198,12261,2331,12247,2915,12700,1657,6833,3209,12930,2822,13392,4511,13211,3443,13106,3834,13206,3371,12954,3556,13188,6546,13439,661,1088,4536,13739
aTNBuvxpnv7b_Zo2f5NTe2_IiUJ8jFjEStX_sAkAWNSS,츠리리리리릿,SILVER,4568599990,100,BOTTOM,1464,7,4,8,1,3,16949,2062,3,4264,13033,9785,11,5,8743,11608,172,8,0,127,1,8,1,0.4230769230769231,0.14285714285714285,221,471,6911,3110,7521,1111,11985,1715,11779,1904,12155,3442,12929,3302,13939,3862,6715,970,12701,2687,13197,3869,13616,3628,1349,644,11233,4404,8329,7553,7480,6968
esOoVRaYHkI3m9_REvSSP4JeTtFYfStQieD0J5mkoliC9-s,금요일곱창,SILVER,4568599990,100,SUPPORT,1464,3,4,0,1,5,3855,0,1,3042,3499,2926,28,24,5807,6821,16,0,0,47,3,11,1,0.19230769230769232,0.14285714285714285,311,649,7047,2981,9968,1150,11268,1919,11392,1831,11529,3616,12863,2709,13687,3956,2419,641,12049,2380,13032,2942,14051,4086,6849,7258,7080,7025,7102,7189,6761,6961
fveauaGTmfx1huUDAfDZ-3csiAkoD4TQk5ZnEBMrvMoIOZQ,매문매문,SILVER,4568599990,100,JUNGLE,1464,11,4,6,2,10,7943,0,1,19139,37545,1183,22,25,17975,10223,17,102,14,290,1,7,3,0.6153846153846154,0.2857142857142857,560,361,6205,3311,5876,5187,5633,9501,4005,10148,9065,5703,4446,2771,7685,4054,5689,11453,4773,10258,7785,9581,13384,6387,4456,2511,11442,6780,9419,8715,3692,7920
