account_id,summoner_name,tier,match_id,queue,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
aYfDwkhxiHAp62kQsvUVI6TIPiE4ApkoEvXyNjJvY-xLqms,광주대표귀요미,GOLD,4465313420,420,100,TOP,2230,6,4,8,12,4,23858,0,1,35929,3120,1283,29,27,46053,15054,235,4,0,104,2,14,2,0.5217391304347826,0.3333333333333333,560,581,702,2927,2104,12992,1375,10028,3329,11792,4511,13463,725,2783,3705,12813,3447,13337,4893,10148,2853,13426,2399,11766,10007,7714,1283,8087,5253,11584,1700,9281
d0up5TmGuEeW2QM5C9T7qxk9S_NayXnG9dAplvJ3Vvhu,굴 러 굴 러 도발,GOLD,4465313420,420,100,JUNGLE,2230,11,4,11,5,7,20011,0,1,48752,28266,358,30,39,46176,16680,75,154,27,358,4,4,7,0.782608695652174,0.1388888888888889,560,361,8468,4857,12519,6179,11133,8334,3640,7956,5625,12886,8122,2458,7056,4077,7199,9614,4030,9504,10601,5618,12696,3229,9993,6887,7936,3536,11081,6566,8927,2546
tBo5IPedy090oXMnnC9FVnkGalT3WJub0rBPNHl5LmJEbvc,최강전설진유승,GOLD,4465313420,420,100,SUPPORT,2230,14,4,0,4,10,7653,1722,5,24357,921,362,85,24,15919,8221,36,0,0,78,7,30,8,0.43478260869565216,0.1111111111111111,311,649,10561,3055,11585,1804,11122,1164,11184,1204,13295,2996,1241,513,11819,3393,10700,3388,10635,1415,11906,2145,13646,2975,10304,5061,12422,3072,11042,2176,11012,1576
ZbucKay9Nw-ZYDVQ1kulM_TzHjWukONTAQVv34-0PKXH,보면안돼,GOLD,4465313420,420,100,BOTTOM,2230,4,7,1,5,9,19451,4467,3,17357,2229,1250,11,7,18001,13200,274,14,0,349,0,6,2,0.43478260869565216,0.1388888888888889,221,471,10289,2883,11844,1702,10907,1271,10969,1408,13025,2557,3217,695,11741,1928,10893,1397,10708,1587,13291,4477,13387,4004,11035,1495,11941,2309,10729,2073,10940,1450
ZHyIxZLR1g5FOG8NscTHQUaAr8Q38Vh9AGm1BmxNohBtmhk,지수냥,GOLD,4465313420,420,200,TOP,2230,14,4,11,6,11,36062,0,1,71556,12802,6153,18,32,38655,18407,222,61,37,261,0,11,1,0.6111111111111112,0.2608695652173913,14486,14511,8532,8841,12468,14198,2328,13347,3577,13642,5743,13498,2964,12238,8998,13909,4013,13732,2598,12654,3241,13443,11985,14202,1151,10675,4561,7481,3666,12895,6562,12625
HfCdHhfbCooEyyt4UMmd3GLzxGFd1TiixOtcM6K3UvIX,킨드래드,GOLD,4465313420,420,200,JUNGLE,2230,11,4,1,7,6,10859,0,1,23783,31246,899,27,13,30354,11064,41,151,5,290,3,13,0,0.19444444444444445,0.30434782608695654,14486,14291,13650,7614,12647,5811,8142,11402,7871,7190,10966,8540,10977,8240,7434,7129,14148,14336,5804,10639,3592,13117,12186,10698,10416,8546,4860,8009,12513,12143,7379,10909
zBqHnQEIoIfhGpYgwExuCIKMacj5w8fSIRy8-l-_VrX0,롤동섟,GOLD,4465313420,420,200,MID,2230,4,14,17,1,7,45193,0,1,21380,16095,7262,20,32,26025,17420,249,16,4,158,2,10,3,0.6666666666666666,0.043478260869565216,14277,14223,8400,8346,8502,8328,8597,8484,14340,14391,8336,8163,7821,7783,7294,7164,9209,9730,7363,6243,7763,7805,7540,7288,7984,8549,7479,7462,6762,8300,7529,7146
26FY_UTxEWgy7k5jdaIYwz4uCdpaSgrpbHTlRK_U21ZW7H4,인하대 이용오,GOLD,4465313420,420,200,BOTTOM,2230,7,4,3,5,8,17470,1745,3,8681,12836,2286,29,1,16262,14040,269,31,15,14,4,17,2,0.3055555555555556,0.21739130434782608,14147,14401,12970,7283,12758,2088,11942,1938,12133,2112,13727,3407,12826,2804,13860,8152,12601,3130,11777,1617,12900,2908,13740,5734,11716,4084,13459,3873,14273,14086,13047,3020
L0gTxUgkDPm86AL4tbe52frIr2r1PAidfVPPtvAccEgE_9k86hJb_V-w,Yami Tommy,GOLD,4465313420,420,200,SUPPORT,2230,14,4,4,4,12,14948,0,1,23488,7050,1007,75,22,19408,9265,45,1,1,131,6,33,7,0.4444444444444444,0.17391304347826086,14237,14579,11002,5161,12642,2672,12076,2108,12198,3034,11160,1114,12728,1641,9969,5763,13622,2508,12473,2513,13191,2547,11061,11427,9367,6335,13638,4033,14340,14391,10621,4630
4V4aK7sINM_g3SK3VuNSe95B5hEIbC3Yu4cAikmxOLwQ,부산도토리,GOLD,4545911523,420,100,MID,2313,12,4,6,9,12,36101,0,1,25744,9132,5822,31,36,27179,15257,245,24,0,501,2,14,2,0.3673469387755102,0.2,351,293,8694,4665,7012,6945,6541,6927,792,628,6967,6286,6750,7069,7316,7493,9572,5562,8128,7089,6560,6933,6548,6708,6842,6594,7387,7449,7314,6889,1215,969
